unique_id,year,team,games,o_pts_pg,o_ty_pg,o_py,o_ry,o_fd_g,o_3rdm,o_3rdpct,o_4thm,o_4thpct,o_pen,o_penyds,o_top,d_pts_pg,d_ty_pg,d_py,d_ry,d_int,d_inttd,stp_n,stp_avg,str_pr,str_pr_yds,str_pr_avg,str_kr,str_kr_yds,str_kr_avg
2011_Northwestern,2011,Northwestern,12,29.5,432.8,256.5833333,176.1666667,23.4,84,49.1,15,57.7,4,35.41666667,1.315277778,27.3,406.9,222.1666667,184.75,0.916666667,0,3.666666667,40.5,0.5,6.416666667,12.8,3.416666667,74.33333333,21.8
2011_Middle Tenn. St.,2011,Middle Tenn. St.,12,22.3,401.1,254.8333333,146.25,21.7,78,39.6,11,35.5,4.833333333,42.58333333,0.773611111,36.8,441.1,211.5833333,229.5,0.333333333,0,5.25,40.5,1.583333333,17,10.7,5.25,101.3333333,19.3
2011_Wyoming,2011,Wyoming,12,27,398.6,213.5,185.0833333,19.8,80,43.5,5,35.7,4.833333333,45.58333333,0.623611111,27,432.3,202.25,230.0833333,1.25,0.083333333,6,40.3,1.083333333,15.25,14.1,3.583333333,73.25,20.4
2011_Purdue,2011,Purdue,12,26.1,371.4,196.75,174.6666667,20.3,75,41.7,4,44.4,7.25,60.66666667,0.747222222,26.4,388.5,202.8333333,185.6666667,0.666666667,0.083333333,5.416666667,40.3,1.916666667,11.33333333,5.9,3.666666667,99.25,27.1
2011_Michigan St.,2011,Michigan St.,13,30.8,390.4,247.4615385,142.9230769,19.8,72,39.6,10,55.6,6.692307692,55.76923077,1.108974359,17.5,272.7,168.3846154,104.3076923,1.230769231,0.230769231,4.307692308,40.2,2.230769231,24.92307692,11.2,3.230769231,78.53846154,24.3
2011_Arkansas St.,2011,Arkansas St.,12,33.5,453.4,288.6666667,164.75,23.7,80,44.2,15,65.2,6.916666667,60.58333333,0.894444444,19.3,325.7,218.4166667,107.25,1.5,0.083333333,3.666666667,40.2,2.166666667,18.83333333,8.7,3,59,19.7
2011_USC,2011,USC,12,35.8,456.8,294.1666667,162.5833333,24.6,72,48.3,9,56.3,5.916666667,50,0.813888889,23.6,374.8,263.3333333,111.4166667,0.75,0.083333333,3.25,40.1,2.166666667,22.25,10.3,3.583333333,73.91666667,20.6
2011_LA Lafayette,2011,LA Lafayette,12,32.3,380.2,250.9166667,129.25,18.4,66,36.5,10,76.9,7.5,65.25,0.8,29.8,393.2,248.6666667,144.5,1.166666667,0.583333333,6.333333333,40.1,2.5,20,8,4.75,93,19.6
2011_Marshall,2011,Marshall,12,22,335.3,212.25,123.0833333,16.4,64,36.2,3,21.4,5.333333333,40.33333333,0.815277778,30.2,418.3,262.3333333,155.9166667,1.166666667,0.083333333,5.75,40,1.333333333,14.16666667,10.6,4.416666667,100.5833333,22.8
2011_Army,2011,Army,12,24.8,396.9,50.41666667,346.5,21.2,72,45.6,18,52.9,4.083333333,36.33333333,1.402777778,28.3,359.3,164.3333333,194.9166667,0.666666667,0.083333333,2.916666667,39.9,1.25,4.583333333,3.7,4.833333333,90.83333333,18.8
2011_Pittsburgh,2011,Pittsburgh,12,25.8,362.2,211,151.1666667,20.6,59,33.5,5,41.7,5.333333333,40.75,0.558333333,22.4,354.8,233.25,121.5833333,0.666666667,0,5.416666667,39.9,2,13.08333333,6.5,3.833333333,82.66666667,21.6
2011_Florida,2011,Florida,12,25.6,334.2,190.1666667,144,17.3,45,30.6,6,54.5,7.75,58.25,0.577777778,20.6,299.6,167.25,132.3333333,0.666666667,0.166666667,4.5,39.9,1.916666667,11.08333333,5.8,3.75,84.08333333,22.4
2011_East Carolina,2011,East Carolina,12,26.3,395.2,286.0833333,109.0833333,22.6,82,46.1,15,78.9,4.916666667,45.83333333,1.034722223,32.3,376.3,202.1666667,174.1666667,0.583333333,0,4.25,39.8,1.25,13.5,10.8,4.833333333,92.83333333,19.2
2011_Fresno St.,2011,Fresno St.,13,28.5,411.8,272.6153846,139.2307692,20.7,67,37.4,10,55.6,6.769230769,62.23076923,0.780769231,35.2,435.8,269.2307692,166.6153846,0.384615385,0,5.076923077,39.7,2.307692308,35.84615385,15.5,6.230769231,128.1538462,20.6
2011_Wake Forest,2011,Wake Forest,12,26.8,374.5,255.5833333,118.9166667,20.2,65,37.8,10,50,4.833333333,43.91666667,1.165277778,27.8,399.1,236.1666667,162.9166667,0.916666667,0,5.166666667,39.7,3.083333333,14,4.5,7.166666667,96.25,13.4
2011_Tulsa,2011,Tulsa,12,34.1,454.4,249.8333333,204.5833333,22.7,69,42.1,6,42.9,4.25,38.41666667,1.047222223,27.6,420.7,289.3333333,131.3333333,1.333333333,0.25,4.166666667,39.4,1.083333333,6.75,6.2,3.916666667,85.5,21.8
2011_New Mexico,2011,New Mexico,12,12,296.2,183,113.1666667,15.6,53,30.6,11,47.8,6.833333333,48.5,1.066666667,41.7,492.1,245.1666667,246.9166667,0.25,0,6.166666667,39.4,0.75,1,1.3,5.333333333,113.0833333,21.2
2011_Cent. Michigan,2011,Cent. Michigan,12,22.6,389.9,274.1666667,115.75,19.7,57,35.4,6,40,4.666666667,46.66666667,0.973611111,33.3,428.8,241.75,187,0.666666667,0,5.333333333,39.4,1.083333333,8.416666667,7.8,5.25,105.75,20.1
2011_New Mexico St.,2011,New Mexico St.,13,24.5,398.1,273.0769231,125,20.3,76,39.6,7,41.2,6.923076923,52.38461538,0.926923077,36.8,462.2,243.3846154,218.7692308,0.769230769,0,5.769230769,39.4,0.769230769,4.307692308,5.6,5.538461538,129.1538462,23.3
2011_Rutgers,2011,Rutgers,12,26.3,336.5,245,91.5,19.9,72,38.1,9,56.3,6.916666667,45.5,0.234722222,18.8,311.5,168.5,143,1.416666667,0.166666667,4.833333333,39.3,1.25,8.75,7,2.833333333,68.66666667,24.2
2011_TCU,2011,TCU,12,41.7,443.9,233.75,210.1666667,21.7,84,54.2,6,75,5.416666667,51.75,0.755555556,21.3,346.3,220.25,126.0833333,0.75,0.25,3.583333333,39.3,2.583333333,26.75,10.4,3.666666667,104.75,28.6
2011_Texas,2011,Texas,12,28.7,404,193.5833333,210.4166667,20.8,87,45.3,8,44.4,6.333333333,56,1.029166667,23.3,315.3,211.6666667,103.6666667,0.916666667,0.083333333,4.5,39.2,1.5,22.41666667,14.9,4.25,102.25,24.1
2011_Hawaii,2011,Hawaii,13,31.5,404.2,308.7692308,95.38461538,22.5,79,44.9,12,63.2,6.076923077,45.92307692,0.914102564,29.1,387.4,244.9230769,142.4615385,1.076923077,0.153846154,4.384615385,39.2,2,17.46153846,8.7,4.615384615,110.3076923,23.9
2011_Maryland,2011,Maryland,12,23.1,379.7,210.3333333,169.3333333,20.3,62,35.8,13,44.8,4.083333333,36.16666667,0.856944444,34.3,457.2,237.4166667,219.75,0.916666667,0.25,5,39.2,1.5,7.916666667,5.3,5.833333333,116.3333333,19.9
2011_Virginia,2011,Virginia,12,23.2,396.8,231.5,165.3333333,20.6,71,39.4,10,50,5.5,43.75,1.315277778,22.3,343.2,214.8333333,128.3333333,1,0.083333333,5.166666667,39.2,2.166666667,12.5,5.8,4.083333333,88.75,21.7
2011_Notre Dame,2011,Notre Dame,12,30.5,424.1,258.0833333,166,23.9,74,46.5,6,100,6.5,60.75,0.852777778,20.9,348.8,201.6666667,147.0833333,0.666666667,0.083333333,4.083333333,39,0.833333333,0.25,0.3,4.25,98.91666667,23.3
2011_Baylor,2011,Baylor,12,43.5,571.3,356.1666667,215.0833333,28.7,66,44.9,16,69.6,7,65.08333333,0.744444444,35.7,477.5,278.8333333,198.6666667,1.333333333,0.166666667,2.5,39,1.333333333,11.5,8.6,4.666666667,91,19.5
2011_South Carolina,2011,South Carolina,12,30.1,375.4,177.4166667,198,19.3,74,44,20,71.4,6.333333333,47.16666667,1.322222223,18.8,268.9,133,135.9166667,1.5,0.166666667,3.916666667,38.9,1.5,11.41666667,7.6,2.916666667,61.25,21
2011_Alabama,2011,Alabama,12,36,433.4,213.5833333,219.8333333,21.6,75,49,7,63.6,4,33.66666667,0.6875,8.8,191.3,116.3333333,74.91666667,1,0.25,3,38.9,3,36.66666667,12.2,1.75,41.5,23.7
2011_Kentucky,2011,Kentucky,12,15.8,259.8,135.5833333,124.1666667,14.2,51,29,9,39.1,4.916666667,40.16666667,1.031944444,24.7,377,193.8333333,183.1666667,1.25,0,8.416666667,38.8,1.583333333,2.916666667,1.8,3.916666667,79.33333333,20.3
2011_East. Michigan,2011,East. Michigan,12,21.3,345,126.6666667,218.3333333,17.6,71,40.3,7,53.8,7.25,61.16666667,0.694444444,24.3,350.3,209.8333333,140.5,0.5,0,5.333333333,38.8,2.5,23.75,9.5,4.5,83.41666667,18.5
